ОСЁТР | РЫБА
СЕВРЮГА | РЫБА
БЕЛУГА | РЫБА
СОМ | РЫБА
ЩУКА | РЫБА
ОКУНЬ | РЫБА
КАРАСЬ | РЫБА
ЛЕЩ | РЫБА
СУДАК | РЫБА
НАЛИМ | РЫБА
ВОРОБЕЙ | ПТИЦА
ВОРОНА | ПТИЦА
ГОЛУБЬ | ПТИЦА
ДЯТЕЛ | ПТИЦА
СОЛОВЕЙ | ПТИЦА
СОРОКА | ПТИЦА
СИНИЦА | ПТИЦА
ГРАЧ | ПТИЦА
СКВОРЕЦ | ПТИЦА
ЛАСТОЧКА | ПТИЦА
МЕДВЕДЬ | МЛЕКОПИТАЮЩЕЕ
ВОЛК | МЛЕКОПИТАЮЩЕЕ
ЛИСА | МЛЕКОПИТАЮЩЕЕ
ЗАЯЦ | МЛЕКОПИТАЮЩЕЕ
БЕЛКА | МЛЕКОПИТАЮЩЕЕ
ЛОСЬ | МЛЕКОПИТАЮЩЕЕ
ОЛЕНЬ | МЛЕКОПИТАЮЩЕЕ
КАБАН | МЛЕКОПИТАЮЩЕЕ
ТИГР | МЛЕКОПИТАЮЩЕЕ
ЛЕВ | МЛЕКОПИТАЮЩЕЕ
БЕРЁЗА | ДЕРЕВО
ДУБ | ДЕРЕВО
СОСНА | ДЕРЕВО
ЕЛЬ | ДЕРЕВО
КЛЁН | ДЕРЕВО
ОСИНА | ДЕРЕВО
ЛИПА | ДЕРЕВО
ИВА | ДЕРЕВО
РЯБИНА | ДЕРЕВО
ОЛЬХА | ДЕРЕВО
ЯБЛОКО | ФРУКТ
ГРУША | ФРУКТ
СЛИВА | ФРУКТ
ВИШНЯ | ФРУКТ
АБРИКОС | ФРУКТ
ПЕРСИК | ФРУКТ
АПЕЛЬСИН | ФРУКТ
ЛИМОН | ФРУКТ
МАНДАРИН | ФРУКТ
БАНАН | ФРУКТ
КАРТОФЕЛЬ | ОВОЩ
МОРКОВЬ | ОВОЩ
КАПУСТА | ОВОЩ
ЛУК | ОВОЩ
ЧЕСНОК | ОВОЩ
ОГУРЕЦ | ОВОЩ
ПОМИДОР | ОВОЩ
СВЁКЛА | ОВОЩ
РЕДИС | ОВОЩ
ТЫКВА | ОВОЩ
РОССИЯ | СТРАНА
ГЕРМАНИЯ | СТРАНА
ФРАНЦИЯ | СТРАНА
ИТАЛИЯ | СТРАНА
ИСПАНИЯ | СТРАНА
АНГЛИЯ | СТРАНА
ЯПОНИЯ | СТРАНА
КИТАЙ | СТРАНА
ИНДИЯ | СТРАНА
ТУРЦИЯ | СТРАНА
МОЛОТОК | ИНСТРУМЕНТ
ПИЛА | ИНСТРУМЕНТ
ОТВЁРТКА | ИНСТРУМЕНТ
ПЛОСКОГУБЦЫ | ИНСТРУМЕНТ
РУБАНОК | ИНСТРУМЕНТ
ТОПОР | ИНСТРУМЕНТ
НАПИЛЬНИК | ИНСТРУМЕНТ
СТАМЕСКА | ИНСТРУМЕНТ
КЛЕЩИ | ИНСТРУМЕНТ
ДРЕЛЬ | ИНСТРУМЕНТ
МУХА | НАСЕКОМОЕ
КОМАР | НАСЕКОМОЕ
ПЧЕЛА | НАСЕКОМОЕ
ОСА | НАСЕКОМОЕ
ЖУК | НАСЕКОМОЕ
БАБОЧКА | НАСЕКОМОЕ
СТРЕКОЗА | НАСЕКОМОЕ
КУЗНЕЧИК | НАСЕКОМОЕ
МУРАВЕЙ | НАСЕКОМОЕ
ТАРАКАН | НАСЕКОМОЕ
РОЗА | ЦВЕТОК
ТЮЛЬПАН | ЦВЕТОК
РОМАШКА | ЦВЕТОК
ЛИЛИЯ | ЦВЕТОК
ФИАЛКА | ЦВЕТОК
АСТРА | ЦВЕТОК
ГВОЗДИКА | ЦВЕТОК
ПИОН | ЦВЕТОК
ИРИС | ЦВЕТОК
ЛАНДЫШ | ЦВЕТОК
